    N   =   10000
      x:            y:             z:          PE:            KE:
      4.4799482      18.766939    0.011764824
      4.4380113      18.775332    0.012339624
      4.3960529      18.783634    0.012914366
      4.3540732      18.791844    0.013489045
      4.3120723      18.799963    0.014063659
      4.2700504      18.807991    0.014638205
      4.2280078      18.815927    0.015212681
      4.1859447      18.823772    0.015787084
      4.1438612      18.831526    0.016361410
      4.1017576      18.839188    0.016935657
      4.0596340      18.846758    0.017509822
      4.0174906      18.854237    0.018083903
      3.9753277      18.861624    0.018657896
      3.9331455      18.868919    0.019231799
      3.8909441      18.876123    0.019805609
      3.8487237      18.883234    0.020379323
      3.8064846      18.890254    0.020952938
      3.7642270      18.897181    0.021526451
      3.7219510      18.904017    0.022099861
      3.6796569      18.910760    0.022673163
      3.6373448      18.917411    0.023246355
      3.5950150      18.923970    0.023819434
      3.5526677      18.930437    0.024392398
      3.5103030      18.936811    0.024965243
      3.4679212      18.943093    0.025537967
      3.4255224      18.949283    0.026110566
      3.3831070      18.955380    0.026683039
      3.3406750      18.961384    0.027255382
      3.2982267      18.967296    0.027827593
      3.2557622      18.973115    0.028399668
      3.2132819      18.978842    0.028971605
      3.1707858      18.984476    0.029543400
      3.1282743      18.990017    0.030115052
      3.0857474      18.995465    0.030686557
      3.0432055      19.000820    0.031257913
      3.0006486      19.006082    0.031829116
      2.9580771      19.011252    0.032400164
      2.9154911      19.016328    0.032971054
      2.8728908      19.021311    0.033541783
      2.8302764      19.026201    0.034112348
      2.7876482      19.030998    0.034682747
      2.7450063      19.035702    0.035252977
      2.7023509      19.040312    0.035823034
      2.6596823      19.044830    0.036392916
      2.6170006      19.049253    0.036962621
      2.5743062      19.053584    0.037532145
      2.5315990      19.057821    0.038101485
      2.4888795      19.061964    0.038670639
      2.4461477      19.066014    0.039239603
      2.4034039      19.069971    0.039808376
      2.3606484      19.073833    0.040376954
      2.3178812      19.077603    0.040945334
      2.2751026      19.081278    0.041513513
      2.2323128      19.084860    0.042081490
      2.1895121      19.088348    0.042649260
      2.1467006      19.091742    0.043216821
      2.1038785      19.095043    0.043784170
      2.0610461      19.098249    0.044351304
      2.0182035      19.101362    0.044918221
      1.9753510      19.104380    0.045484917
      1.9324888      19.107305    0.046051391
      1.8896171      19.110136    0.046617638
      1.8467360      19.112872    0.047183656
      1.8038459      19.115515    0.047749443
      1.7609468      19.118063    0.048314995
      1.7180391      19.120517    0.048880310
      1.6751229      19.122877    0.049445384
      1.6321984      19.125143    0.050010215
      1.5892658      19.127315    0.050574801
      1.5463255      19.129392    0.051139138
      1.5033775      19.131375    0.051703223
      1.4604220      19.133264    0.052267053
      1.4174594      19.135058    0.052830627
      1.3744897      19.136758    0.053393940
      1.3315133      19.138363    0.053956991
      1.2885302      19.139874    0.054519775
      1.2455408      19.141290    0.055082292
      1.2025452      19.142612    0.055644536
      1.1595437      19.143840    0.056206507
      1.1165364      19.144972    0.056768200
      1.0735237      19.146010    0.057329613
      1.0305055      19.146954    0.057890744
     0.98748231      19.147803    0.058451589
     0.94445419      19.148557    0.059012146
     0.90142139      19.149216    0.059572411
     0.85838411      19.149781    0.060132382
     0.81534258      19.150251    0.060692056
     0.77229699      19.150626    0.061251431
     0.72924757      19.150907    0.061810503
     0.68619452      19.151092    0.062369269
     0.64313807      19.151183    0.062927728
     0.60007841      19.151179    0.063485875
     0.55701577      19.151080    0.064043708
     0.51395035      19.150886    0.064601224
     0.47088237      19.150597    0.065158421
     0.42781204      19.150213    0.065715295
     0.38473958      19.149735    0.066271845
     0.34166519      19.149161    0.066828066
     0.29858910      19.148492    0.067383956
     0.25551151      19.147729    0.067939512
     0.21243263      19.146870    0.068494732
     0.16935269      19.145916    0.069049612
     0.12627189      19.144867    0.069604151
    0.083190451      19.143723    0.070158344
    0.040108584      19.142484    0.070712189
  -0.0029734981      19.141150    0.071265684
   -0.046055580      19.139721    0.071818825
   -0.089137447      19.138196    0.072371610
    -0.13221889      19.136577    0.072924035
    -0.17529968      19.134862    0.073476099
    -0.21837962      19.133052    0.074027797
    -0.26145849      19.131147    0.074579129
    -0.30453607      19.129146    0.075130089
    -0.34761215      19.127051    0.075680677
    -0.39068652      19.124860    0.076230888
